PRODUCTO,AÑO,PRECIO,CONSUMOXCAPITA
CARNE VACUNO,2000,6.625685221620918,7.444887354546453
CARNE POLLO,2000,2.535172256348309,13.83188516415958
CARNE CERDO,2000,4.05024179415593,10.871961915655067
SALMON,2000,6.5210523730486365,0.601412518129718
PAN,2000,1.6353389390859892,50.12624950448426
ARROZ,2000,0.983098974513463,4.948497660448665
ACEITE DE OLIVA,2000,2.4039441634692618,9.178628150111779
TOMATES,2000,0.9880805282244807,12.98483945074159
PLAT.PREP.CONSERVA,2000,3.57018507166127,0.7706341321958523
CARNE VACUNO,2001,6.777772003437731,6.1653069066563555
CARNE POLLO,2001,2.868416350821769,14.733473518914813
CARNE CERDO,2001,4.754716988817878,11.522534588439813
SALMON,2001,6.028035024212481,0.814287230158287
PAN,2001,1.7083173262801525,50.25345693534446
ARROZ,2001,1.0385444868610052,4.913546015381564
ACEITE DE OLIVA,2001,2.102458881121043,9.827098206653782
TOMATES,2001,0.9468519625108849,13.300991492002392
PLAT.PREP.CONSERVA,2001,3.862557428291148,0.9161410069663604
CARNE VACUNO,2002,7.316757797130043,7.50624104562058
CARNE POLLO,2002,2.9432336302988564,14.963081898410408
CARNE CERDO,2002,5.113330736846818,11.95644838574842
SALMON,2002,5.868223734104765,0.9135664858977676
PAN,2002,1.8245961034522047,49.77678890169027
ARROZ,2002,1.077665540074929,4.859484707008123
ACEITE DE OLIVA,2002,2.2693375739026247,10.31269609066354
TOMATES,2002,1.1834282581267928,13.180436799092048
PLAT.PREP.CONSERVA,2002,4.052113933534762,1.2668546572776065
CARNE VACUNO,2003,7.1725856189777115,7.7681979207021135
CARNE POLLO,2003,2.959119263584748,14.193674645937218
CARNE CERDO,2003,5.204131251440821,11.423814128839307
SALMON,2003,6.072104766463855,1.0065452174741798
PAN,2003,1.849462613774917,47.34524388828658
ARROZ,2003,1.093643406383605,4.7303396989492335
ACEITE DE OLIVA,2003,2.3415703096885303,10.331860273127319
TOMATES,2003,1.2678899236566652,13.567616859822092
PLAT.PREP.CONSERVA,2003,4.095623016574826,1.3150707499262722
CARNE VACUNO,2004,7.6213734268488675,7.82721657448245
CARNE POLLO,2004,3.21069962356879,13.803827687125938
CARNE CERDO,2004,5.457613352404792,11.240239092381987
SALMON,2004,6.167190700532569,0.7441865295880378
PAN,2004,1.980716002773398,46.92480395207377
ARROZ,2004,1.118322563266027,4.767537368750501
ACEITE DE OLIVA,2004,2.670209403157911,10.549558356698636
TOMATES,2004,1.1309537591145606,14.120121729318848
PLAT.PREP.CONSERVA,2004,4.419800825022246,1.472687998071671
CARNE VACUNO,2005,7.77780057815177,7.743142283914015
CARNE POLLO,2005,3.3395862080240915,13.265519371685448
CARNE CERDO,2005,5.61056246149135,10.930586352946255
SALMON,2005,6.8268743493681825,0.6808992033438223
PAN,2005,2.0098481837183466,45.851413839920745
ARROZ,2005,1.196245015984993,4.6675945909367025
ACEITE DE OLIVA,2005,3.0279325551140492,10.008656210271209
TOMATES,2005,1.3361782912829432,13.578090521647553
PLAT.PREP.CONSERVA,2005,4.4973629343647294,1.5010817586716152
CARNE VACUNO,2006,8.262493681113403,7.176475099222075
CARNE POLLO,2006,3.4996615859580262,12.879806603256291
CARNE CERDO,2006,6.080119769914756,11.578547513676664
SALMON,2006,7.841446029861548,0.5688444683786306
